
0 0
5 43
10 43
15 43
20 43
25 43
132 43
137 43
142 43
147 43
152 43
158 43
163 43
168 43
178 43
194 43
240 43
251 43
296 43
363 43
368 43
378 43
445 43
450 43
455 43
465 43
490 43
495 43
511 43
521 43
526 43
536 43
659 43
776 43
787 43
792 43
802 43
812 43
827 43
832 43
843 43
853 43
868 43
980 43
991 43
1001 43
1047 43
1052 43
1077 43
1165 43
1205 43
1231 43
1344 43
1354 43
1369 43
1446 43
1466 43
1476 43
1594 43
1727 43
1732 43
1738 43
1753 43
1773 43
1891 43
1896 43
1973 43
3098 43
3113 43
10660 43
10665 43
10747 43
19405 43
19410 43
19426 43
19446 43
19466 43
19491 43
19558 43
19608 43
19669 43
19812 43
19951 43
20052 43
20180 43
20185 43
20328 43
20451 43
20604 43
20609 43
20619 43
20758 43
20763 43
20885 43
20998 43
21044 43
21049 43
21054 43
21229 43
21254 43
21305 43
21417 43
21422 43
21433 43
21443 43
21448 43
21479 43
21529 43
21581 43
21749 43
21893 43
21898 43
21980 43
22103 43
22109 43
22221 43
22226 43
22368 43
22398 43
22408 43
22449 43
22525 43
22673 43
22909 43
22914 43
30769 43
30774 43
30973 43
31035 43
31318 43
62471 43
62476 43
62497 43
62594 43
62609 43
91445 43
120535 43
149414 43
194552 43
194562 43
194572 43
194690 43
194700 43
194751 43
194756 43
194772 43
194777 43
195470 43
195661 43
219769 43
290791 43
290822 43
290832 43
290852 43
291000 43
291143 43
291231 43
291236 43
291241 43
291246 43
291302 43
291307 43
291328 43
291333 43
291425 43
291544 43
291711 43
291835 43
291840 43
291912 43
292275 43
320952 43
320957 43
320987 43
321044 43
321049 43
321202 43
321336 43
321341 43
321346 43
321351 43
322477 43
323256 43
323261 43
330921 43
330926 43
331496 43
331501 43
331588 43
331824 43
332577 43
343549 43
343610 43
343615 43
343620 43
343625 43
343630 43
343840 43
343845 43
345358 43
345373 43
345378 43
345383 43
345803 43
345823 43
345859 43
345982 43
356211 43
359190 43
359549 43
360221 43
360226 43
360323 43
363682 43
363820 43
363830 43
363840 43
363866 43
363927 43
364044 43
364172 43
364290 43
364296 43
364301 43
364306 43
364524 43
364529 43
378063 43
393268 43
393605 43
401983 43
410312 43
411477 43
417219 43
417224 43
417229 43
417240 43
417245 43
417250 43
417255 43
417301 43
417306 43
417311 43
417316 43
417331 43
417336 43
417362 43
417730 43
417735 43
417745 43
460019 43
469697 43
470511 43
470516 43
470521 43
470644 43
470710 43
470770 43
470776 43
470781 43
470786 43
470791 43
470796 43
470801 43
470806 43
470811 43
481316 43
481321 43
481720 43
481735 43
481765 43
481770 43
481776 43
481781 43
481786 43
481791 43
481796 43
481868 43
481873 43
481883 43
481888 43
502183 43
506399 43
506404 43
506409 43
506414 43
506440 43
506445 43
506450 43
506562 43
506567 43
506572 43
506577 43
506582 43
506588 43
506593 43
506598 43
506603 43
506613 43
506618 43
506623 43
506634 43
506654 43
506659 43
506664 43
506669 43
506674 43
506679 43
506685 43
506690 43
506695 43
506700 43
506812 43
506817 43
506822 43
